Model_Index,Bird_Species,Wiki_Summary
481,Halcyon Smyrnensis,Summary currently unavailable.
482,Megaceryle Alcyon,Summary currently unavailable.
483,Megaceryle Maxima,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
484,Megaceryle Torquata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
485,Pelargopsis Capensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
486,Todiramphus Chloris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
487,Todiramphus Macleayii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
488,Todiramphus Sanctus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
489,Coracias Benghalensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
490,Coracias Caudatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
491,Coracias Garrulus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
492,Eurystomus Orientalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
493,Merops Apiaster,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
494,Merops Bullockoides,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
495,Merops Orientalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
496,Merops Ornatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
497,Merops Persicus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
498,Merops Philippinus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
499,Merops Pusillus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
500,Eumomota Superciliosa,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
501,Momotus Aequatorialis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
502,Momotus Lessonii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
503,Momotus Mexicanus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
504,Cacomantis Flabelliformis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
505,Centropus Sinensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
506,Centropus Superciliosus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
507,Coccyzus Americanus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
508,Coccyzus Erythropthalmus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
509,Crotophaga Ani,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
510,Crotophaga Major,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
511,Crotophaga Sulcirostris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
512,Cuculus Canorus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
513,Eudynamys Scolopaceus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
514,Geococcyx Californianus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
515,Guira Guira,Summary currently unavailable.
516,Piaya Cayana,Summary currently unavailable.
517,Caracara Cheriway,Summary currently unavailable.
518,Caracara Plancus,Summary currently unavailable.
519,Falco Berigora,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
520,Falco Cenchroides,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
521,Falco Columbarius,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
522,Falco Femoralis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
523,Falco Mexicanus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
524,Falco Naumanni,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
525,Falco Novaeseelandiae,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
526,Falco Peregrinus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
527,Falco Rufigularis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
528,Falco Rupicolus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
529,Falco Sparverius,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
530,Falco Subbuteo,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
531,Falco Tinnunculus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
532,Falco Vespertinus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
533,Herpetotheres Cachinnans,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
534,Milvago Chimachima,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
535,Milvago Chimango,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
536,Galbula Ruficauda,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
537,Crax Rubra,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
538,Ortalis Cinereiceps,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
539,Ortalis Poliocephala,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
540,Ortalis Vetula,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
541,Ortalis Wagleri,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
542,Penelope Obscura,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
543,Penelope Purpurascens,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
544,Alectura Lathami,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
545,Numida Meleagris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
546,Callipepla Californica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
547,Callipepla Gambelii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
548,Callipepla Squamata,Summary currently unavailable.
549,Colinus Virginianus,Summary currently unavailable.
550,Alectoris Chukar,Summary currently unavailable.
551,Alectoris Rufa,Summary currently unavailable.
552,Bonasa Umbellus,Summary currently unavailable.
553,Dendragapus Fuliginosus,Summary currently unavailable.
554,Dendragapus Obscurus,Summary currently unavailable.
555,Falcipennis Canadensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
556,Francolinus Pondicerianus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
557,Gallus Gallus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
558,Lagopus Lagopus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
559,Meleagris Gallopavo,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
560,Pavo Cristatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
561,Perdix Perdix,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
562,Phasianus Colchicus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
563,Pternistis Capensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
564,Tetrao Tetrix,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
565,Tetrastes Bonasia,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
566,Gavia Arctica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
567,Gavia Immer,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
568,Gavia Pacifica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
569,Gavia Stellata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
570,Aramus Guarauna,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
571,Anthropoides Paradiseus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
572,Anthropoides Virgo,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
573,Antigone Canadensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
574,Antigone Rubicunda,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
575,Grus Americana,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
576,Grus Grus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
577,Amaurornis Phoenicurus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
578,Aramides Albiventris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
579,Aramides Cajaneus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
580,Fulica Americana,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
581,Fulica Ardesiaca,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
582,Fulica Armillata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
583,Fulica Atra,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
584,Fulica Cristata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
585,Gallinula Chloropus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
586,Gallinula Galeata,Summary currently unavailable.
587,Gallinula Tenebrosa,Summary currently unavailable.
588,Gallirallus Australis,Summary currently unavailable.
589,Gallirallus Philippensis,Summary currently unavailable.
590,Porphyrio Martinica,Summary currently unavailable.
591,Porphyrio Melanotus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
592,Porphyrio Poliocephalus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
593,Porzana Carolina,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
594,Rallus Aquaticus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
595,Rallus Crepitans,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
596,Rallus Limicola,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
597,Rallus Obsoletus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
598,Zapornia Flavirostra,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
599,Corythaixoides Concolor,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
600,Opisthocomus Hoazin,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
601,Ardeotis Kori,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
602,Acanthisitta Chloris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
603,Acanthiza Chrysorrhoa,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
604,Acanthiza Pusilla,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
605,Gerygone Igata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
606,Sericornis Frontalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
607,Acrocephalus Arundinaceus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
608,Acrocephalus Australis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
609,Acrocephalus Dumetorum,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
610,Acrocephalus Schoenobaenus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
611,Acrocephalus Scirpaceus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
612,Iduna Caligata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
613,Aegithalos Caudatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
614,Psaltriparus Minimus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
615,Aegithina Tiphia,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
616,Alauda Arvensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
617,Eremophila Alpestris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
618,Galerida Cristata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
619,Lullula Arborea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
620,Artamus Cyanopterus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
621,Artamus Leucorynchus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
622,Cracticus Nigrogularis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
623,Cracticus Torquatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
624,Gymnorhina Tibicen,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
625,Strepera Graculina,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
626,Bombycilla Cedrorum,Summary currently unavailable.
627,Bombycilla Garrulus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
628,Buphagus Erythrorynchus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
629,Calcarius Lapponicus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
630,Plectrophenax Nivalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
631,Philesturnus Rufusater,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
632,Coracina Novaehollandiae,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
633,Pericrocotus Speciosus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
634,Cardinalis Cardinalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
635,Cardinalis Sinuatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
636,Cyanocompsa Parellina,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
637,Habia Fuscicauda,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
638,Passerina Amoena,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
639,Passerina Caerulea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
640,Passerina Ciris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
641,Passerina Cyanea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
642,Passerina Leclancherii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
643,Passerina Versicolor,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
644,Pheucticus Chrysopeplus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
645,Pheucticus Ludovicianus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
646,Pheucticus Melanocephalus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
647,Piranga Bidentata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
648,Piranga Flava,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
649,Piranga Ludoviciana,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
650,Piranga Olivacea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
651,Piranga Rubra,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
652,Spiza Americana,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
653,Certhia Americana,Summary currently unavailable.
654,Certhia Brachydactyla,Summary currently unavailable.
655,Certhia Familiaris,Summary currently unavailable.
656,Cinclus Cinclus,Summary currently unavailable.
657,Cinclus Mexicanus,Summary currently unavailable.
658,Cisticola Exilis,Summary currently unavailable.
659,Cisticola Juncidis,Summary currently unavailable.
660,Orthotomus Sutorius,Summary currently unavailable.
661,Prinia Inornata,Summary currently unavailable.
662,Prinia Maculosa,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
663,Prinia Subflava,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
664,Cormobates Leucophaea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
665,Corcorax Melanorhamphos,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
666,Aphelocoma Californica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
667,Aphelocoma Coerulescens,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
668,Aphelocoma Wollweberi,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
669,Aphelocoma Woodhouseii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
670,Calocitta Colliei,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
671,Calocitta Formosa,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
672,Corvus Albicollis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
673,Corvus Albus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
674,Corvus Brachyrhynchos,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
675,Corvus Caurinus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
676,Corvus Corax,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
677,Corvus Cornix,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
678,Corvus Corone,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
679,Corvus Coronoides,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
680,Corvus Frugilegus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
681,Corvus Macrorhynchos,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
682,Corvus Mellori,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
683,Corvus Monedula,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
684,Corvus Ossifragus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
685,Corvus Splendens,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
686,Cyanocitta Cristata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
687,Cyanocitta Stelleri,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
688,Cyanocorax Chrysops,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
689,Cyanocorax Yncas,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
690,Cyanocorax Yucatanicus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
691,Cyanopica Cyanus,Summary currently unavailable.
692,Dendrocitta Formosae,Summary currently unavailable.
693,Dendrocitta Vagabunda,Summary currently unavailable.
694,Garrulus Glandarius,Summary currently unavailable.
695,Nucifraga Caryocatactes,Summary currently unavailable.
696,Nucifraga Columbiana,Summary currently unavailable.
697,Perisoreus Canadensis,Summary currently unavailable.
698,Pica Hudsonia,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
699,Pica Nuttalli,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
700,Pica Pica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
701,Pica Serica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
702,Psilorhinus Morio,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
703,Pyrrhocorax Graculus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
704,Pyrrhocorax Pyrrhocorax,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
705,Urocissa Erythroryncha,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
706,Dicaeum Hirundinaceum,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
707,Dicrurus Adsimilis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
708,Dicrurus Bracteatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
709,Dicrurus Leucophaeus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
710,Dicrurus Macrocercus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
711,Dicrurus Paradiseus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
712,Emberiza Calandra,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
713,Emberiza Cia,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
714,Emberiza Cirlus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
715,Emberiza Citrinella,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
716,Emberiza Elegans,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
717,Emberiza Hortulana,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
718,Emberiza Rustica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
719,Emberiza Schoeniclus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
720,Emberiza Spodocephala,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
721,Estrilda Astrild,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
722,Euodice Malabarica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
723,Lagonosticta Senegala,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
724,Lonchura Atricapilla,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
725,Lonchura Punctulata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
726,Lonchura Striata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
727,Neochmia Temporalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
728,Spermestes Cucullata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
729,Taeniopygia Bichenovii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
730,Uraeginthus Angolensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
731,Acanthis Cabaret,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
732,Acanthis Flammea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
733,Acanthis Hornemanni,Summary currently unavailable.
734,Carduelis Carduelis,Summary currently unavailable.
735,Carpodacus Erythrinus,Summary currently unavailable.
736,Carpodacus Sibiricus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
737,Chloris Chloris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
738,Chloris Sinica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
739,Coccothraustes Coccothraustes,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
740,Coccothraustes Vespertinus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
741,Crithagra Mozambica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
742,Euphonia Affinis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
743,Euphonia Elegantissima,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
744,Euphonia Hirundinacea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
745,Euphonia Laniirostris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
746,Fringilla Coelebs,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
747,Fringilla Montifringilla,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
748,Haemorhous Cassinii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
749,Haemorhous Mexicanus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
750,Haemorhous Purpureus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
751,Leucosticte Tephrocotis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
752,Linaria Cannabina,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
753,Loxia Curvirostra,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
754,Loxia Leucoptera,Summary currently unavailable.
755,Pinicola Enucleator,Summary currently unavailable.
756,Pyrrhula Pyrrhula,Summary currently unavailable.
757,Serinus Serinus,Summary currently unavailable.
758,Spinus Lawrencei,Summary currently unavailable.
759,Spinus Magellanicus,Summary currently unavailable.
760,Spinus Pinus,Summary currently unavailable.
761,Spinus Psaltria,Summary currently unavailable.
762,Spinus Spinus,Summary currently unavailable.
763,Spinus Tristis,Summary currently unavailable.
764,Certhiaxis Cinnamomeus,Summary currently unavailable.
765,Furnarius Leucopus,Summary currently unavailable.
766,Furnarius Rufus,Summary currently unavailable.
767,Lepidocolaptes Angustirostris,Summary currently unavailable.
768,Xiphorhynchus Flavigaster,Summary currently unavailable.
769,Cecropis Abyssinica,Summary currently unavailable.
770,Cecropis Daurica,Summary currently unavailable.
771,Delichon Urbicum,Summary currently unavailable.
772,Hirundo Albigularis,Summary currently unavailable.
773,Hirundo Neoxena,Summary currently unavailable.
774,Hirundo Rustica,Summary currently unavailable.
775,Hirundo Smithii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
776,Hirundo Tahitica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
777,Petrochelidon Fulva,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
778,Petrochelidon Pyrrhonota,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
779,Progne Chalybea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
780,Progne Subis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
781,Progne Tapera,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
782,Ptyonoprogne Rupestris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
783,Pygochelidon Cyanoleuca,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
784,Riparia Riparia,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
785,Stelgidopteryx Ruficollis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
786,Stelgidopteryx Serripennis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
787,Tachycineta Albilinea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
788,Tachycineta Albiventer,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
789,Tachycineta Bicolor,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
790,Tachycineta Thalassina,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
791,Agelaioides Badius,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
792,Agelaius Phoeniceus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
793,Agelaius Tricolor,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
794,Cacicus Cela,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
795,Cassiculus Melanicterus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
796,Chrysomus Icterocephalus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
797,Dives Dives,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
798,Dolichonyx Oryzivorus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
799,Euphagus Carolinus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
800,Euphagus Cyanocephalus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
801,Icterus Abeillei,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
802,Icterus Bullockii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
803,Icterus Chrysater,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
804,Icterus Cucullatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
805,Icterus Galbula,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
806,Icterus Graduacauda,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
807,Icterus Gularis,Summary currently unavailable.
808,Icterus Nigrogularis,Summary currently unavailable.
809,Icterus Parisorum,Summary currently unavailable.
810,Icterus Pectoralis,Summary currently unavailable.
811,Icterus Prosthemelas,Summary currently unavailable.
812,Icterus Pustulatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
813,Icterus Pyrrhopterus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
814,Icterus Spurius,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
815,Icterus Wagleri,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
816,Leistes Loyca,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
817,Molothrus Aeneus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
818,Molothrus Ater,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
819,Molothrus Bonariensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
820,Psarocolius Decumanus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
821,Psarocolius Montezuma,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
822,Quiscalus Lugubris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
823,Quiscalus Major,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
824,Quiscalus Mexicanus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
825,Quiscalus Niger,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
